java_file,loc
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineConfiguration_runtimeServiceBean_1.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getMaxPoolSize_2.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setMailServerDefaultFrom_27.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setMailServerUseSsl_29.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getDefaultAsyncJobAcquireWaitTimeInMillis_18.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/EndpointAutoConfiguration_processEngineEndpoint_0.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineConfiguration_managementServiceBeanBean_5.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/DefaultActivityBehaviorFactoryMappingConfigurer_configure_1.java,5
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineAutoConfiguration_processEngine_3.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineConfiguration_integrationContextServiceBean_7.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setDeploymentMode_41.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_getMailServerPort_20.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineAutoConfiguration_integrationContextManagerBean_10.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setCheckProcessDefinitions_3.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineAutoConfiguration_taskExecutor_9.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineConfiguration_repositoryServiceBean_2.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AbstractProcessEngineAutoConfiguration_managementServiceBeanBean_8.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setMessageQueueMode_11.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setSerializePOJOsInVariablesToJson_43.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setHistoryLevel_13.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setMaxPoolSize_3.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_getQueueSize_6.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_setUseStrongUuids_37.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/AsyncExecutorProperties_setDefaultAsyncJobAcquireWaitTimeInMillis_19.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_getMailServerPassword_24.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties_getProcessDefinitionLocationPrefix_14.java,3
